salted,reading,word
_新_婚_旅_行_地,신혼여행지,新婚旅行地
_新_民_族_主_義,신민족주의,新民族主義
_新_進_化_主_義,신진화주의,新進化主義
_新_進_化_論_者,신진화론자,新進化論者
_旣_定_事_實_化,기정사실화,旣定事實化
_日_常_生_活_的,일상생활적,日常生活的
_日_常_茶_飯_事,일상다반사,日常茶飯事
_日_新_又_日_新,일신우일신,日新又日新
_易_子_而_敎_之,역자이교지,易子而敎之
_時_代_錯_誤_的,시대착오적,時代錯誤的
_時_機_尙_早_論,시기상조론,時機尙早論
_時_間_主_義_的,시간주의적,時間主義的
_朝_三_暮_四_式,조삼모사식,朝三暮四式
_李_下_不_整_冠,이하부정관,李下不整冠
_東_大_門_市_場,동대문시장,東大門市場
_東_洋_史_學_科,동양사학과,東洋史學科
_核_物_理_學_科,핵물리학과,核物理學科
_根_本_主_義_的,근본주의적,根本主義的
_植_民_地_主_義,식민지주의,植民地主義
_構_造_主_義_的,구조주의적,構造主義的
_構_造_主_義_者,구조주의자,構造主義者
_機_會_主_義_的,기회주의적,機會主義的
_機_會_主_義_者,기회주의자,機會主義者
_機_能_主_義_的,기능주의적,機能主義的
_權_威_主_義_化,권위주의화,權威主義化
_權_威_主_義_的,권위주의적,權威主義的
_歷_史_主_義_的,역사주의적,歷史主義的
_歷_史_主_義_者,역사주의자,歷史主義者
_死_後_藥_方_文,사후약방문,死後藥方文
_民_主_主_義_的,민주주의적,民主主義的
_民_族_主_義_的,민족주의적,民族主義的
_民_族_主_義_者,민족주의자,民族主義者
_民_本_主_義_的,민본주의적,民本主義的
_水_廣_則_魚_遊,수광즉어유,水廣則魚遊
_水_旱_蟲_雹_霜,수한충박상,水旱蟲雹霜
_水_至_淸_無_魚,수지청무어,水至淸無魚
_氷_炭_不_相_容,빙탄불상용,氷炭不相容
_洛_陽_紙_價_貴,낙양지가귀,洛陽紙價貴
_浪_漫_主_義_的,낭만주의적,浪漫主義的
_浪_漫_主_義_者,낭만주의자,浪漫主義者
_海_外_旅_行_地,해외여행지,海外旅行地
_消_費_主_義_的,소비주의적,消費主義的
_淡_黃_赤_葛_色,담황적갈색,淡黃赤葛色
_淸_算_主_義_的,청산주의적,淸算主義的
_減_價_償_却_費,감가상각비,減價償却費
_準_核_保_有_國,준핵보유국,準核保有國
_潛_德_之_幽_光,잠덕지유광,潛德之幽光
_火_災_警_報_器,화재경보기,火災警報器
_烟_受_有_田_畓,연수유전답,烟受有田畓
_無_心_之_道_劇,무심지도극,無心之道劇
_無_脊_椎_動_物,무척추동물,無脊椎動物
_無_限_軌_道_的,무한궤도적,無限軌道的
_爲_人_設_官_式,위인설관식,爲人設官式
_物_質_主_義_的,물질주의적,物質主義的
_猛_虎_出_林_形,맹호출림형,猛虎出林形
_獨_不_將_軍_式,독불장군식,獨不將軍式
_獨_身_主_義_者,독신주의자,獨身主義者
_率_性_之_謂_道,솔성지위도,率性之謂道
_現_世_主_義_的,현세주의적,現世主義的
_現_實_主_義_化,현실주의화,現實主義化
_現_實_主_義_的,현실주의적,現實主義的
_現_實_主_義_者,현실주의자,現實主義者
_理_想_主_義_的,이상주의적,理想主義的
_理_論_科_學_者,이론과학자,理論科學者
_瓜_田_不_納_履,과전불납리,瓜田不納履
_生_活_必_需_品,생활필수품,生活必需品
_生_物_化_學_的,생물화학적,生物化學的
_男_女_平_等_觀,남녀평등관,男女平等觀
_百_八_十_度_祭,백팔십도제,百八十度祭
_百_年_之_大_計,백년지대계,百年之大計
_目_的_意_識_的,목적의식적,目的意識的
_相_對_主_義_的,상대주의적,相對主義的
_相_扶_相_助_的,상부상조적,相扶相助的
_眈_美_主_義_的,탐미주의적,眈美主義的
_眈_美_主_義_者,탐미주의자,眈美主義者
_眞_空_淸_掃_器,진공청소기,眞空淸掃器
_社_會_主_義_圈,사회주의권,社會主義圈
_社_會_主_義_的,사회주의적,社會主義的
_社_會_主_義_者,사회주의자,社會主義者
_社_會_事_業_課,사회사업과,社會事業課
_社_會_安_全_員,사회안전원,社會安全員
_社_會_意_識_的,사회의식적,社會意識的
_社_民_主_義_者,사민주의자,社民主義者
_神_秘_主_義_性,신비주의성,神秘主義性
_神_秘_主_義_的,신비주의적,神秘主義的
_神_秘_主_義_者,신비주의자,神秘主義者
_神_聖_不_可_侵,신성불가침,神聖不可侵
_秋_收_主_義_者,추수주의자,秋收主義者
_科_學_主_義_的,과학주의적,科學主義的
_移_動_圖_書_館,이동도서관,移動圖書館
_第_一_主_義_者,제일주의자,第一主義者
_第_一_主_義_論,제일주의론,第一主義論
_筆_記_試_驗_紙,필기시험지,筆記試驗紙
_算_術_級_數_的,산술급수적,算術級數的
_精_神_主_義_的,정신주의적,精神主義的
_精_神_勞_動_者,정신노동자,精神勞動者
_精_神_薄_弱_兒,정신박약아,精神薄弱兒
_純_粹_主_義_的,순수주의적,純粹主義的
_結_婚_記_念_日,결혼기념일,結婚記念日
_經_濟_史_學_界,경제사학계,經濟史學界
_經_濟_史_學_者,경제사학자,經濟史學者
_經_驗_主_義_的,경험주의적,經驗主義的
_綾_地_浮_文_綾,능지부문능,綾地浮文綾
_綾_地_綾_文_綾,능지능문능,綾地綾文綾
_編_輯_部_長_職,편집부장직,編輯部長職
_總_學_生_會_長,총학생회장,總學生會長
_美_術_史_學_科,미술사학과,美術史學科
_老_運_轉_技_士,노운전기사,老運轉技士
_職_業_紹_介_所,직업소개소,職業紹介所
_職_業_革_命_家,직업혁명가,職業革命家
_能_書_不_擇_筆,능서불택필,能書不擇筆
_脫_集_團_主_義,탈집단주의,脫集團主義
_腦_神_經_外_科,뇌신경외과,腦神經外科
_臨_財_無_求_得,임재무구득,臨財無求得
_自_動_販_賣_機,자동판매기,自動販賣機
_自_動_車_業_界,자동차업계,自動車業界
_自_動_車_業_體,자동차업체,自動車業體
_自_動_車_用_品,자동차용품,自動車用品
_自_屎_不_覺_臭,자시불각취,自屎不覺臭
_自_己_中_心_的,자기중심적,自己中心的
_自_己_欺_瞞_的,자기기만적,自己欺瞞的
_自_己_滿_足_的,자기만족적,自己滿足的
_自_己_矛_盾_的,자기모순적,自己矛盾的
_自_己_陶_醉_的,자기도취적,自己陶醉的
_自_然_主_義_的,자연주의적,自然主義的
_自_然_主_義_者,자연주의자,自然主義者
_自_然_辨_證_法,자연변증법,自然辨證法
_自_現_者_不_明,자현자불명,自現者不明
_自_由_主_義_的,자유주의적,自由主義的
_自_由_主_義_者,자유주의자,自由主義者
_自_身_照_不_亮,자신조불량,自身照不亮
_至_上_主_義_派,지상주의파,至上主義派
_至_上_主_義_的,지상주의적,至上主義的
_至_上_主_義_者,지상주의자,至上主義者
_舊_社_會_主_義,구사회주의,舊社會主義
_舟_非_水_不_行,주비수불행,舟非水不行
_航_空_管_制_使,항공관제사,航空管制使
_般_若_波_羅_蜜,반야바라밀,般若波羅蜜
_良_心_宣_言_者,양심선언자,良心宣言者
_良_藥_苦_於_口,양약고어구,良藥苦於口
_色_受_想_行_識,색수상행식,色受想行識
_萬_三_千_八_百,만삼천팔백,萬三千八百
_萬_病_通_治_藥,만병통치약,萬病通治藥
_蓮_花_浮_水_形,연화부수형,蓮花浮水形
_虛_無_主_義_者,허무주의자,虛無主義者
_蛇_無_頭_不_行,사무두불행,蛇無頭不行
_蝨_處_頭_而_黑,슬처두이흑,蝨處頭而黑
_行_態_主_義_的,행태주의적,行態主義的
_行_方_不_明_者,행방불명자,行方不明者
_表_現_主_義_的,표현주의적,表現主義的
_被_害_妄_想_症,피해망상증,被害妄想症
_覇_權_主_義_的,패권주의적,覇權主義的
_覇_權_主_義_者,패권주의자,覇權主義者
_觀_世_音_菩_薩,관세음보살,觀世音菩薩
_記_念_事_業_會,기념사업회,記念事業會
_誇_大_妄_想_的,과대망상적,誇大妄想的
_讀_書_三_品_科,독서삼품과,讀書三品科
_貧_賤_不_能_移,빈천불능이,貧賤不能移
_貴_族_主_義_的,귀족주의적,貴族主義的
_資_本_主_義_圈,자본주의권,資本主義圈
_資_本_主_義_的,자본주의적,資本主義的
_資_本_主_義_者,자본주의자,資本主義者
_超_現_實_主_義,초현실주의,超現實主義
_超_自_然_主_義,초자연주의,超自然主義
_超_超_重_拘_禁,초초중구금,超超重拘禁
_越_鳥_巢_南_枝,월조소남지,越鳥巢南枝
_身_上_明_細_書,신상명세서,身上明細書
_身_窮_心_不_窮,신궁심불궁,身窮心不窮
_身_體_障_碍_者,신체장애자,身體障碍者
_軍_國_主_義_化,군국주의화,軍國主義化
_辭_達_而_已_矣,사달이이의,辭達而已矣
_近_代_主_義_的,근대주의적,近代主義的
_近_親_相_姦_的,근친상간적,近親相姦的
_迷_兒_保_護_所,미아보호소,迷兒保護所
_速_登_者_易_顚,속등자이전,速登者易顚
_進_步_主_義_者,진보주의자,進步主義者
_道_德_主_義_的,도덕주의적,道德主義的
_道_德_主_義_者,도덕주의자,道德主義者
_道_德_君_子_然,도덕군자연,道德君子然
_酒_百_藥_之_長,주백약지장,酒百藥之長
_重_文_化_主_義,중문화주의,重文化主義
_金_木_水_火_土,금목수화토,金木水火土
_金_鷄_抱_卵_型,금계포란형,金鷄抱卵型
_開_校_記_念_日,개교기념일,開校記念日
_開_發_途_上_國,개발도상국,開發途上國
_阿_彌_陀_如_來,아미타여래,阿彌陀如來
_附_屬_室_長_室,부속실장실,附屬室長室
_陰_陽_五_行_說,음양오행설,陰陽五行說
_隨_行_室_長_室,수행실장실,隨行室長室
_電_子_娛_樂_室,전자오락실,電子娛樂室
_電_子_計_算_機,전자계산기,電子計算機
_電_話_番_號_簿,전화번호부,電話番號簿
_非_人_文_學_的,비인문학적,非人文學的
_非_常_勤_務_令,비상근무령,非常勤務令
_非_常_戒_嚴_令,비상계엄령,非常戒嚴令
_非_常_警_戒_令,비상경계령,非常警戒令
_非_植_民_地_化,비식민지화,非植民地化
_非_決_定_論_的,비결정론적,非決定論的
_非_鋪_裝_道_路,비포장도로,非鋪裝道路
_風_水_地_理_學,풍수지리학,風水地理學
_風_水_地_理_的,풍수지리적,風水地理的
_風_水_地_理_觀,풍수지리관,風水地理觀
_風_水_地_理_論,풍수지리론,風水地理論
_高_炭_水_化_物,고탄수화물,高炭水化物
_高_等_中_學_校,고등중학교,高等中學校
_黑_色_宣_傳_物,흑색선전물,黑色宣傳物
_一_以_貫_之,일이관지,一以貫之
_一_元_論_的,일원론적,一元論的
_一_刀_兩_斷,일도양단,一刀兩斷
_一_列_橫_隊,일렬횡대,一列橫隊
_一_刻_一_刻,일각일각,一刻一刻
_一_口_二_言,일구이언,一口二言
_一_品_料_理,일품요리,一品料理
_一_問_一_答,일문일답,一問一答
_一_喜_一_悲,일희일비,一喜一悲
_一_回_用_品,일회용품,一回用品
_一_場_春_夢,일장춘몽,一場春夢
_一_塵_不_染,일진불염,一塵不染
_一_字_千_金,일자천금,一字千金
_一_字_無_識,일자무식,一字無識
_一_家_親_戚,일가친척,一家親戚
_一_寸_光_陰,일촌광음,一寸光陰
_一_心_同_體,일심동체,一心同體
_一_念_三_千,일념삼천,一念三千
_一_擧_一_動,일거일동,一擧一動
_一_擧_兩_得,일거양득,一擧兩得
_一_攫_千_金,일확천금,一攫千金
_一_攫_千_金,일확천금,一攫千金
_一_敗_塗_地,일패도지,一敗塗地
_一_日_一_善,일일일선,一日一善
_一_日_三_秋,일일삼추,一日三秋
_一_旦_停_止,일단정지,一旦停止
_一_望_無_際,일망무제,一望無際
_一_木_難_支,일목난지,一木難支
_一_次_元_的,일차원적,一次元的
_一_毛_不_拔,일모불발,一毛不拔
_一_毫_半_點,일호반점,一毫半點
_一_波_萬_波,일파만파,一波萬波
_一_瀉_千_里,일사천리,一瀉千里
_一_炊_之_夢,일취지몽,一炊之夢
_一_片_丹_心,일편단심,一片丹心
_一_生_一_代,일생일대,一生一代
_一_百_五_十,일백오십,一百五十
_一_目_十_行,일목십행,一目十行
_一_目_瞭_然,일목요연,一目瞭然
_一_石_二_鳥,일석이조,一石二鳥
_一_筆_揮_之,일필휘지,一筆揮之
_一_箭_雙_雕,일전쌍조,一箭雙雕
_一_絲_不_亂,일사불란,一絲不亂
_一_絲_不_亂,일사불란,一絲不亂
_一_網_打_盡,일망타진,一網打盡
_一_罰_百_戒,일벌백계,一罰百戒
_一_脈_相_通,일맥상통,一脈相通
_一_致_團_結,일치단결,一致團結
_一_般_論_的,일반론적,一般論的
_一_萬_二_千,일만이천,一萬二千
_一_葉_片_舟,일엽편주,一葉片舟
_一_葉_知_秋,일엽지추,一葉知秋
_一_觸_卽_發,일촉즉발,一觸卽發
_一_言_之_下,일언지하,一言之下
_一_言_半_句,일언반구,一言半句
_一_言_居_士,일언거사,一言居士
_一_連_番_號,일련번호,一連番號
_一_進_一_退,일진일퇴,一進一退
_一_長_一_短,일장일단,一長一短
_一_顧_傾_城,일고경성,一顧傾城
_一_飯_之_德,일반지덕,一飯之德
_一_騎_當_千,일기당천,一騎當千
_一_體_主_義,일체주의,一體主義
_一_魚_濁_水,일어탁수,一魚濁水
_一_鼓_作_氣,일고작기,一鼓作氣
_一_龍_一_蛇,일룡일사,一龍一蛇
_丁_酉_再_亂,정유재란,丁酉再亂
_七_-_飯_床,칠첩반상,七-飯床
_七_八_月_生,칠팔월생,七八月生
_七_去_之_惡,칠거지악,七去之惡
_七_顚_八_起,칠전팔기,七顚八起
_七_香_鷄_湯,칠향계탕,七香鷄湯
_三_-_飯_床,삼첩반상,三-飯床
_三_三_五_五,삼삼오오,三三五五
_三_人_成_虎,삼인성호,三人成虎
_三_位_一_體,삼위일체,三位一體
_三_分_鼎_足,삼분정족,三分鼎足
_三_十_三_人,삼십삼인,三十三人
_三_十_三_天,삼십삼천,三十三天
_三_十_六_計,삼십육계,三十六計
_三_十_而_立,삼십이립,三十而立
_三_千_五_百,삼천오백,三千五百
_三_千_甲_子,삼천갑자,三千甲子
_三_寒_四_溫,삼한사온,三寒四溫
_三_尺_童_子,삼척동자,三尺童子
_三_年_不_蜚,삼년불비,三年不蜚
_三_從_之_義,삼종지의,三從之義
_三_從_之_道,삼종지도,三從之道
_三_日_天_下,삼일천하,三日天下
_三_旬_九_食,삼순구식,三旬九食
_三_次_元_的,삼차원적,三次元的
_三_生_緣_分,삼생연분,三生緣分
_三_百_六_十,삼백육십,三百六十
_三_綱_五_倫,삼강오륜,三綱五倫
_三_萬_二_千,삼만이천,三萬二千
_三_角_關_係,삼각관계,三角關係
_三_豕_金_根,삼시금근,三豕金根
_三_遷_之_敎,삼천지교,三遷之敎
_三_間_斗_屋,삼간두옥,三間斗屋
_三_頭_膊_筋,삼두박근,三頭膊筋
_三_顧_草_廬,삼고초려,三顧草廬
_上_下_水_道,상하수도,上下水道
_上_佐_平_制,상좌평제,上佐平制
_上_命_下_服,상명하복,上命下服
_上_大_等_制,상대등제,上大等制
_上_漏_下_濕,상루하습,上漏下濕
_上_衣_下_裳,상의하상,上衣下裳
_上_通_下_達,상통하달,上通下達
_下_位_文_化,하위문화,下位文化
_下_宿_-_型,하숙집형,下宿-型
_下_水_道_管,하수도관,下水道管
_不_世_之_材,불세지재,不世之材
_不_事_二_君,불사이군,不事二君
_不_伐_己_長,불벌기장,不伐己長
_不_俱_戴_天,불구대천,不俱戴天
_不_偏_不_黨,불편부당,不偏不黨
_不_偏_不_黨,불편부당,不偏不黨
_不_公_正_性,불공정성,不公正性
_不_分_東_西,불분동서,不分東西
_不_動_姿_勢,부동자세,不動姿勢
_不_動_産_業,부동산업,不動産業
_不_勞_所_得,불로소득,不勞所得
_不_協_和_音,불협화음,不協和音
_不_及_馬_腹,불급마복,不及馬腹
_不_可_侵_性,불가침성,不可侵性
_不_可_入_性,불가입성,不可入性
_不_可_思_議,불가사의,不可思議
_不_可_抗_力,불가항력,不可抗力
_不_可_知_論,불가지론,不可知論
_不_可_避_性,불가피성,不可避性
_不_合_理_性,불합리성,不合理性
_不_吉_之_兆,불길지조,不吉之兆
_不_同_戴_天,부동대천,不同戴天
_不_告_知_罪,불고지죄,不告知罪
_不_問_可_知,불문가지,不問可知
_不_問_曲_直,불문곡직,不問曲直
_不_均_一_性,불균일성,不均一性
_不_均_等_性,불균등성,不均等性
_不_均_衡_的,불균형적,不均衡的
_不_如_一_見,불여일견,不如一見
_不_孝_莫_甚,불효막심,不孝莫甚
_不_定_期_的,부정기적,不定期的
_不_實_施_工,부실시공,不實施工
_不_平_不_滿,불평불만,不平不滿
_不_得_要_領,부득요령,不得要領
_不_必_多_言,불필다언,不必多言
_不_必_要_論,불필요론,不必要論
_不_忍_之_心,불인지심,不忍之心
_不_快_指_數,불쾌지수,不快指數
_不_恥_下_問,불치하문,不恥下問
_不_惑_之_年,불혹지년,不惑之年
_不_愧_屋_漏,불괴옥루,不愧屋漏
_不_憤_不_啓,불분불계,不憤不啓
_不_撓_不_屈,불요불굴,不撓不屈
_不_撤_晝_夜,불철주야,不撤晝夜
_不_敢_生_心,불감생심,不敢生心
_不_易_之_典,불역지전,不易之典
_不_朽_之_功,불후지공,不朽之功
_不_欺_二_字,불기이자,不欺二字
_不_正_行_爲,부정행위,不正行爲
_不_毛_之_地,불모지지,不毛之地
_不_淨_腐_敗,부정부패,不淨腐敗
